Summary,Issue Type,Labels,Description
להסיר console.log שנשכח בקוד של overlay,Task,onboarding-friendly,"קובץ: apps/server/src/infrastructure/ffmpeg/overlays/overlay.service.ts

הבעיה:
בקובץ נשארה שורה של הדפסת דיבאג ל-console.log שמופעלת בתוך מסלול שרץ בכל פעם שמייצרים סרטון עם overlay. בכל שאר השרת אנחנו משתמשים בלוגר מסודר (Pino) ולא ב-console.log.

למה זה חשוב:
ההדפסה הזאת ממלאת את הלוגים של פרודקשן בזבל, ושוברת את האחידות של משטר הלוגים שלנו. כל קו חקירה שמסתמך על הלוגר המסודר נפגע.

מה לעשות:
לאתר את הדפסת הדיבאג שנשארה ולהסיר אותה. לוודא שלא נשארה אף הדפסה ל-console עבור buildOverlayFilters בקובץ הזה.

מה זה יפתור:
לוגים נקיים בפרודקשן, ועקביות מלאה עם משטר הלוגינג בשאר השרת.

בדיקה:
ידנית. אחרי ההסרה להריץ grep על הנתיב ולוודא שאין יותר הדפסה ל-console עבור הקריאה הזאת. הטסטים הקיימים חייבים להישאר ירוקים. אין צורך להוסיף טסט חדש.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להאחיד את סכמות ה-URL בקובץ edit-video לסגנון אחיד,Task,onboarding-friendly,"קובץ: packages/contract/src/internal/edit-video/schemas.ts

הבעיה:
בקובץ הזה רוב הסכמות שמייצגות URL כתובות בצורה הקצרה והמודרנית של Zod, אבל שתי שורות נשארו בצורה הישנה והארוכה. זה drift קטן של סגנון בתוך אותו קובץ.

למה זה חשוב:
חוסר אחידות מקשה על קריאה ועריכה של הקובץ, ומשדר חוסר חתימה לסטנדרט אצל מי שמסתכל בקוד הזה בפעם הראשונה.

מה לעשות:
לאתר את שתי השורות שעדיין כתובות בצורה הישנה ולהאחיד אותן עם הסגנון הקצר שכבר משמש בשאר הקובץ. אין שינוי התנהגות — רק אחידות סגנון.

מה זה יפתור:
קובץ אחיד, קל יותר לקרוא, ופחות עוגנים של drift לעתיד.

בדיקה:
הטסטים הקיימים בתיקיית הטסטים של edit-video חייבים להישאר ירוקים. אין צורך להוסיף טסט חדש.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לתקן typo במחלקת Tailwind שגורם לכיתוב לא להיצבע נכון,Task,onboarding-friendly,"קובץ: apps/frontend/src/features/editor/scene/empty.tsx

הבעיה:
באלמנט שמופיע בריבוע ""לחץ להעלאה"" באדיטור הריק, נכתבה המחלקה text-forground (עם חסר באות אחת — צריך להיות text-foreground). זו לא utility class חוקית של Tailwind, ולכן Tailwind מתעלם ממנה. בנוסף יש שם רווח כפול לפני p-2.

למה זה חשוב:
זה באג ויזואלי אמיתי שאף אחד לא שם לב אליו, כי האלמנט יורש צבע סביר מההורה במקום לקבל את הצבע המיועד שלו. רווח כפול במחרוזת מחלקות הוא ניקיון קוד פשוט.

מה לעשות:
לתקן את שם המחלקה ל-utility class הנכונה של Tailwind שמטפלת בצבע הטקסט בערכת ה-foreground של העיצוב. באותה הזדמנות לנקות את הרווח הכפול.

מה זה יפתור:
הכיתוב יקבל את הצבע שתוכנן לו, וקובץ ה-className יישאר נקי.

בדיקה:
ידנית. הטסטים האוטומטיים לא תופסים typo של Tailwind. להריץ את ה-frontend ב-pnpm dev, להיכנס לאדיטור עם פרויקט ריק, ולוודא ויזואלית שהאייקון מקבל את הצבע של ערכת ה-foreground (אפשר להשוות לאלמנט אחר באותו צבע במסך).

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להגביל אורך של mediaId בהודעה EDITOR_ADD_MEDIA,Task,onboarding-friendly,"קובץ: packages/contract/src/iframe/from-parent/schemas.ts

הבעיה:
ההורה (האפליקציה שמטמיעה את האדיטור בתוך iframe) שולח לנו mediaId כחלק מההודעה EDITOR_ADD_MEDIA. הסכמה הנוכחית דורשת רק מחרוזת לא ריקה, בלי שום גג עליון על האורך.

למה זה חשוב:
הערך הזה מגיע ממקור שאנחנו לא שולטים בו, והוא מתפזר אצלנו בכל מקום: בכתובות שאנחנו בונים סביבו, בלוגים, ובמפתחות של מטמון. מזהה ארוך באופן מוגזם — בין אם זה ניסיון לרעה, בין אם זה באג בצד ההורה — יכול לנפח לוגים, להשפיע על שימוש בזיכרון ולפתוח שטח לתקיפה.

מה לעשות:
להוסיף לסכמה של mediaId הגבלת אורך עליונה הגיונית למזהה (סדר גודל של 128 תווים — מזהה אמור להיות קצר, לא טקסט חופשי). את המספר המדויק לבחור, ולתעד בקצרה ב-PR למה הוא סביר.

מה זה יפתור:
הגנה אמיתית מפני קלט פגום או זדוני בנקודת הכניסה היחידה שדרכה ההורה מזריק זהויות מדיה.

בדיקה:
להוסיף טסט חדש בקובץ הטסטים של הסכמות מההורה: מזהה באורך הגבול עובר, מזהה באורך גבול+1 נכשל. למשל — אם בחרת 128: 128 תווים עובר, 129 תווים נכשל.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להגביל אורך של השדה name בסכמות recording-range ו-audio-range,Task,onboarding-friendly,"קובץ: packages/contract/src/iframe/from-parent/schemas.ts

הבעיה:
השדה name מופיע בשתי סכמות שונות בקובץ הזה (recording-range ו-audio-range), בשתיהן כמחרוזת אופציונלית בלי גג עליון על האורך.

למה זה חשוב:
הערך הזה מגיע ישירות לטיימליין שלנו ולשמות שמופיעים בכותרת של פריט. אם ההורה שולח טקסט באורך מגוחך (נגיד מגה-בייט), זה מנפח את הזיכרון של הסטור, ממלא את הלוגים ויכול להאט את ה-UI.

מה לעשות:
להוסיף הגבלת אורך עליונה ל-name בשתי הסכמות, במספר שמתאים לכותרת אנושית (סדר גודל של 200 תווים). חשוב שזה ייעשה בשני המקומות, לא רק באחד.

מה זה יפתור:
מגן את ה-UI ואת הסטור מתשומות מגוחכות, גם כשהן מגיעות מצד שאיננו שולטים בו.

בדיקה:
בקובץ הטסטים של הסכמות מההורה להוסיף בדיקות שמוכיחות: name באורך הגבול עובר, name באורך גבול+1 נכשל. לעשות את זה לשתי הסכמות (recording-range ו-audio-range) — לא להסתפק בבדיקה של אחת בלבד.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להגביל אורך של mediaName באירוע export.started,Task,onboarding-friendly,"קובץ: packages/contract/src/events/export.ts

הבעיה:
השדה mediaName באירוע export.started הוא חלק מהחוזה הציבורי של מערכת האירועים שלנו — צוותים אחרים בארגון נרשמים ל-exchange ומקבלים את ההודעות האלה. הסכמה דורשת רק מחרוזת לא ריקה, בלי גג עליון.

למה זה חשוב:
מה שאנחנו לא מגבילים בסכמה — הצרכנים שלנו יקבלו, ואנחנו אחראים על האיכות של הזרם הזה. מחרוזת ענקית שיוצאת לחוזה הציבורי משפיעה על כל מי שעוקב אחרי האירוע.

מה לעשות:
להוסיף הגבלת אורך עליונה ל-mediaName, במספר שמתאים לשם מדיה אנושי (סדר גודל של 200 תווים).

מה זה יפתור:
הידוק החוזה הציבורי. הצרכנים מקבלים אורך צפוי, וההגנה מצידנו על מי שתלוי בנו.

בדיקה:
להוסיף בדיקה בקובץ הטסטים של אירועי export: mediaName באורך הגבול עובר, באורך גבול+1 נכשל.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לוודא ש-LOG_LEVEL מוגבל לרמות לוג חוקיות,Task,onboarding-friendly,"קובץ: apps/server/src/config/env.ts

הבעיה:
הסכמה של LOG_LEVEL מקבלת כל מחרוזת. אם מישהו כתב בטעות LOG_LEVEL=infoo בקובץ .env, השרת עולה כרגיל, ורק ברגע שהלוגר (Pino) מנסה לכתוב את הלוג הראשון הוא מתפוצץ עם stack trace מבלבל באמצע התעבורה.

למה זה חשוב:
שגיאת הגדרה צריכה להיתפס ב-boot, לא חצי שעה אחרי שהשרת רץ בפרודקשן. תפיסת התקלה בנקודה הנכונה חוסכת חקירה ארוכה ומבלבלת.

מה לעשות:
להדק את הסכמה כך שתקבל אך ורק את רמות הלוג החוקיות של Pino (trace, debug, info, warn, error, fatal, silent), עם ברירת מחדל info כשהמשתנה לא קיים. ערך לא חוקי חייב להפיל את הפרסר של ה-env ב-boot.

מה זה יפתור:
שגיאות הקלדה ברמת הלוג נתפסות מיד, לפני שהשרת מתחיל לקבל בקשות.

בדיקה:
להוסיף Vitest חדש בתיקיית הבדיקות של ה-bootstrap, שמנסה לפרסר env עם LOG_LEVEL לא חוקי ומצפה לכישלון. כדאי גם לוודא: ערך חוקי אחד (למשל debug) עובר, וברירת המחדל מוחזרת כשהמשתנה לא מוגדר בכלל.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לוודא ש-OTEL_ENDPOINT הוא URL תקין כשהוא קיים,Task,onboarding-friendly,"קובץ: apps/server/src/config/env.ts

הבעיה:
ההערה בקוד עצמו אומרת ש-OTel מושבת כשה-OTEL_ENDPOINT לא קיים. אבל הסכמה הנוכחית רק דורשת מחרוזת אופציונלית — היא לא מבחינה בין ""המשתנה לא קיים"" לבין ""המשתנה קיים אבל מקולקל"" (למשל htp://localhost עם טעות כתיב).

למה זה חשוב:
תקלת כתיב כזאת או מבטלת telemetry בלי שאף אחד שם לב, או מפוצצת את ה-OTel SDK בשליחת ה-span הראשון — שני המצבים מתגלים מאוחר, אחרי שכבר רצים, ובדיוק כשצריך טריגר על תקלה.

מה לעשות:
להדק את הסכמה כך שכאשר המשתנה קיים — הוא חייב להיות URL תקין. כשהוא לא קיים — עדיין מותר (OTel מושבת). ערך לא חוקי חייב להפיל את הפרסר ב-boot.

מה זה יפתור:
מבטיח שאם הוגדר endpoint, הוא תקני; ושאם לא, ההתנהגות הצפויה (telemetry מושבת) מתועדת ונאכפת בסכמה עצמה.

בדיקה:
להוסיף Vitest בתיקיית הבדיקות של ה-bootstrap שמכסה שלושה מצבים: המשתנה לא קיים בכלל (עובר), URL תקין (עובר), מחרוזת שאינה URL כמו htp://x (נכשל).

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
לוודא ש-SERVER_BASE_URL הוא URL תקין,Task,onboarding-friendly,"קובץ: apps/server/src/config/env.ts

הבעיה:
המשתנה SERVER_BASE_URL משמש כ-base לבניית URL חתום לסגמנטים של וידאו. היום הסכמה מקבלת כל מחרוזת.

למה זה חשוב:
אם הערך לא תקין, הכשל לא קופץ ב-boot אלא רק כשמשתמש פותח preview — עם הודעה מבלבלת על Invalid URL שמופיעה מעמוק בתוך זרימת הבקשה.

מה לעשות:
להדק את הסכמה כך שתדרוש URL תקין. ערך לא חוקי חייב להפיל את הפרסר ב-boot, לפני שהשרת מתחיל לקבל בקשות.

מה זה יפתור:
תקלת הגדרה של ה-base URL נתפסת מיד, ולא משאירה את המשתמש מול שגיאה לא מובנת תוך כדי שימוש.

בדיקה:
להוסיף Vitest בתיקיית הבדיקות של ה-bootstrap שמנסה ערך לא תקין ומצפה לכישלון בפרסר, וערך תקין כמו http://localhost:4001 שעובר.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
להגביל את RENDER_URL_EXPIRY_SECONDS לטווח הגיוני,Task,onboarding-friendly,"קובץ: apps/server/src/config/env.ts

הבעיה:
הסכמה הנוכחית של RENDER_URL_EXPIRY_SECONDS מקבלת כל מספר, כולל 0 וערכים אסטרונומיים, ללא טווח מינימום ומקסימום.

למה זה חשוב:
ערך 0 יוצר URL חתום שנדחה מיד ב-S3 — תוצאה: סרטונים שמסתיימים אבל לא נפתחים, בלי שגיאה ברורה. ערך ענק חוצה את מדיניות האבטחה שלנו לתוקף של קישורים חתומים.

מה לעשות:
לדרוש מספר שלם בטווח הפעלה הגיוני — לכל הפחות דקה אחת, ולכל היותר שבוע — תוך שמירה על ברירת המחדל הקיימת של יום אחד. ערך מחוץ לטווח חייב להפיל את הפרסר.

מה זה יפתור:
חוסם הגדרות שגויות שמפילות UX (קישורים שפג תוקפם מיד) או חורגות ממדיניות (תוקף ארוך מדי), בלי לפגוע בברירת המחדל הנהוגה.

בדיקה:
להוסיף Vitest שמוודא ש-0 נדחה, שערך גדול בהרבה מהמותר נדחה, ושברירת המחדל עדיין חלה כשהמשתנה לא קיים.

לפני פתיחת PR להריץ:
pnpm lint
turbo run type-check
pnpm test
pnpm knip"
